CountyName	RaceID	RaceName	BallotID	BallotName	Votes	TotalBallotsCastByRace	PartyName
Kittitas	21	Washington State Insurance Commissioner	24732	Brian C. Berend	505	7469	(Prefers Independent Party)
Kittitas	11309	COUNTY COMMISSIONER DISTRICT 1 Commissioner 1	23574	Catherine Anne Clerf	954	2986	(Prefers Republican Party)
Kittitas	11309	COUNTY COMMISSIONER DISTRICT 1 Commissioner 1	23493	Tony J. Helland	404	2986	(Prefers Republican Party)
Kittitas	11309	COUNTY COMMISSIONER DISTRICT 1 Commissioner 1	23045	Paul Jewell	1628	2986	(Prefers Republican Party)
Kittitas	11310	COUNTY COMMISSIONER DISTRICT 2 Commissioner 2	22938	Steve Senger	708	3933	(Prefers Republican Party)
Kittitas	11310	COUNTY COMMISSIONER DISTRICT 2 Commissioner 2	23052	Gary Berndt	1275	3933	(Prefers Republican Party)
Kittitas	11310	COUNTY COMMISSIONER DISTRICT 2 Commissioner 2	23637	Del Knudson	691	3933	(Prefers Republican Party)
Kittitas	11310	COUNTY COMMISSIONER DISTRICT 2 Commissioner 2	27588	Paula J Thompson	1259	3933	(States No Party Preference)
Kittitas	23	Supreme Court Justice Position 2	25308	Douglas W. McQuaid	1814	6122	
Kittitas	23	Supreme Court Justice Position 2	22696	Susan Owens	3702	6122	
Kittitas	23	Supreme Court Justice Position 2	25901	Scott Stafne	606	6122	
Kittitas	29	Supreme Court Justice Position 8	27584	Bruce O. Danielson	3502	6062	
Kittitas	29	Supreme Court Justice Position 8	22800	Steve Gonzalez	2560	6062	
Kittitas	30	Supreme Court Justice Position 9	23014	Bruce Hilyer	1335	6458	
Kittitas	30	Supreme Court Justice Position 9	22992	Sheryl Gordon McCloud	1757	6458	
Kittitas	30	Supreme Court Justice Position 9	24650	Richard B. Sanders	2800	6458	
Kittitas	30	Supreme Court Justice Position 9	24241	John W. Ladenburg	566	6458	
Kittitas	52	Court of Appeals, Division 3, District 3 Judge Position 2	26398	Devin Poulson	2491	5788	
Kittitas	52	Court of Appeals, Division 3, District 3 Judge Position 2	24909	Teresa C. Kulik	3297	5788	
Kittitas	97	Kittitas Superior Court Judge Position 1	23061	Paul Sander	2079	8170	
Kittitas	97	Kittitas Superior Court Judge Position 1	23544	Jim Denison	2361	8170	
Kittitas	97	Kittitas Superior Court Judge Position 1	23723	Fran Chmelewski	3730	8170	
Kittitas	377	Kittitas Superior Court Judge Position 2	23719	Scott R. Sparks	6238	6238	
Kittitas	27578	PRECINCT 05 - DENMARK Precinct Committee Officer - Republican	24901	Kirk Groenig	111	150	
Kittitas	27578	PRECINCT 05 - DENMARK Precinct Committee Officer - Republican	27114	Jerry Sandeno	39	150	
Kittitas	27627	PRECINCT 30 - ELLENSBURG 23 Precinct Committee Officer - Democratic	23702	Theresa Petrey	62	88	
Kittitas	27627	PRECINCT 30 - ELLENSBURG 23 Precinct Committee Officer - Democratic	25401	Todd Schaefer	26	88	
Kittitas	27642	PRECINCT 37 - NORTH ELLENSBURG Precinct Committee Officer - Republican	23175	Katherine A. Spall	84	192	
Kittitas	27642	PRECINCT 37 - NORTH ELLENSBURG Precinct Committee Officer - Republican	26810	Gloria (Jean) Stokes	81	192	
Kittitas	27642	PRECINCT 37 - NORTH ELLENSBURG Precinct Committee Officer - Republican	25291	Darla Hill Sautter	27	192	
Kittitas	27648	PRECINCT 40 - RIDGEWAY Precinct Committee Officer - Republican	26394	Arlein Anderson	92	224	
Kittitas	27648	PRECINCT 40 - RIDGEWAY Precinct Committee Officer - Republican	26395	Gordon Allen Pross	34	224	
Kittitas	27648	PRECINCT 40 - RIDGEWAY Precinct Committee Officer - Republican	23718	Sandy Elliot	98	224	
Kittitas	27680	PRECINCT 56 - THRALL Precinct Committee Officer - Republican	24608	Karen Poulsen	111	178	
Kittitas	27680	PRECINCT 56 - THRALL Precinct Committee Officer - Republican	23706	Tim McGuire	67	178	
Kittitas	27684	PRECINCT 58 - DAMMAN Precinct Committee Officer - Republican	26857	Clarence Grening	29	153	
Kittitas	27684	PRECINCT 58 - DAMMAN Precinct Committee Officer - Republican	26065	Carol Ready	21	153	
Kittitas	27684	PRECINCT 58 - DAMMAN Precinct Committee Officer - Republican	26117	Marlene Pfeifer	103	153	
Kittitas	27688	PRECINCT 60 - KITTITAS 2 Precinct Committee Officer - Republican	24145	John Camarata	56	103	
Kittitas	27688	PRECINCT 60 - KITTITAS 2 Precinct Committee Officer - Republican	24886	Tawna Whitford	47	103	
Kittitas	266	Legislative District 13 State Representative Pos. 1	24118	Judith (Judy) Warnick	6268	6268	(Prefers Republican Party)
Kittitas	267	Legislative District 13 State Representative Pos. 2	25348	Kaj Selmann	3200	8135	(Prefers Democratic Party)
Kittitas	267	Legislative District 13 State Representative Pos. 2	22818	Matt Manweller 	4935	8135	(Prefers Republican Party)
Klickitat	2	United States U.S. Senator	23036	Michael Baumgartner	1452	3980	(Prefers Republican Party)
